,Irradiance,BodyTemperature,RelativeHumidity,HumidityTemp,Pressure,TiltAngle,FanSpeed,SunAzimuth,SunZenith
count,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0
mean,286.62700859375,19.140373046875,3.0583523437499998,20.57127734375,1020.9281506347656,0.131040234375,9103.142265625,181.591711128139,27.620038374409223
std,282.0373200280726,9.03995673505612,1.7056984629322518,9.012956751646025,32.66203786489289,0.0727437417332227,133.07101542793276,63.948380044358366,17.687966455656227
min,0.0,-9.13,0.0,-7.7,931.4375,0.0,8779.0,53.431748692439,-0.264616192220895
25%,53.0025,11.78,1.78,13.2375,995.5859375,0.1,8992.0,127.29159308585524,13.610724126246076
50%,175.94,19.77,3.32,21.2,1022.71875,0.12,9095.0,181.94843394084648,24.6514666719767
75%,466.0425,26.6,4.38,28.0,1048.5,0.15,9206.0,235.40147450404274,40.824862824657274
max,1440.55,41.0,6.79,42.35,1100.0625,2.08,9490.0,306.624086676195,66.5073883050008
