,Irradiance,IrradianceNotCompensated,BodyTemperature,RelativeHumidity,HumidityTemp,Pressure,PressureAvg,PressureTemp,PressureTempAvg,TiltAngle,TiltAngleAvg,FanSpeed,HeaterCurrent,FanCurrent,SunAzimuth,SunZenith
count,25411.0,25411.0,25411.0,25411.0,25411.0,25411.0,25411.0,25411.0,25411.0,25411.0,25411.0,25411.0,25411.0,25411.0,25411.0,25411.0
mean,287.3815756955649,287.00428790681207,19.12034001023179,3.0540510015347686,20.551123922710637,1020.8668969639133,1020.8604258490418,19.468703575715242,19.467028765839597,0.13105308724568102,0.11164141513517768,9103.389595057259,0.3289701310456101,0.06745421274251309,181.38199372811374,27.724209768325302
std,281.6200319534077,281.229670831569,9.004404543067736,1.7005179777805643,8.977490057977064,32.531452176280354,32.53389551243704,9.364231784891858,9.364424675542892,0.07288155156318238,0.023323635957591196,132.55112414446418,0.0020674986214100364,0.0011289450750692793,63.78916898390788,17.606894287762753
min,0.09,0.09,-9.09,0.0,-7.67,931.59375,931.46875,-10.00390625,-10.03515625,0.0,0.03,8810.0,0.32,0.064,53.7629345115037,5.41651521466235e-05
25%,53.965,53.870000000000005,11.78,1.78,13.24,995.640625,995.671875,11.85546875,11.8515625,0.1,0.09,8992.0,0.328,0.067,127.3109952986915,13.7869346070483
50%,177.17,176.9,19.76,3.32,21.2,1022.6875,1022.6875,20.13671875,20.1328125,0.12,0.11,9095.0,0.329,0.067,181.602325146392,24.7222608556111
75%,466.57,466.28999999999996,26.58,4.38,27.98,1048.40625,1048.40625,27.220703125,27.21875,0.15,0.13,9206.0,0.33,0.068,234.958742645072,40.851503393255655
max,1440.55,1440.2,37.73,6.59,39.06,1084.71875,1084.9375,38.78125,38.80078125,2.08,0.18,9490.0,0.335,0.073,306.352291638072,66.5073883050008
